year,month,date,cloud_cover,product_id,product_name
2022,6,2022-06-10,1.426531,8cf123c2-473d-460f-8384-ec0f64ceb43c,S2A_MSIL2A_20220610T101611_N0510_R065_T32TNQ_20240630T072225.SAFE
2022,6,2022-06-20,1.34187,5a33b624-ad0b-4279-94c7-74c555cde49d,S2A_MSIL2A_20220620T102041_N0510_R065_T32TNQ_20240628T034130.SAFE
2022,6,2022-06-30,0.644042,a26f0b34-82b6-4e32-84a6-6737f7390927,S2A_MSIL2A_20220630T102041_N0510_R065_T32TNQ_20240703T001206.SAFE
2022,7,2022-07-02,0.253737,392c41cf-58a3-48b3-af1a-4a5445856c88,S2B_MSIL2A_20220702T100559_N0510_R022_T32TNQ_20240701T053734.SAFE
2022,7,2022-07-15,0.43984299999999993,25e14e58-7235-4e4a-a5f7-d770eb585cab,S2B_MSIL2A_20220715T101559_N0510_R065_T32TNQ_20240724T023217.SAFE
2022,7,2022-07-22,0.077808,3f4380d9-196e-488e-b82c-a3a5a1162738,S2B_MSIL2A_20220722T100559_N0510_R022_T32TNQ_20240712T175556.SAFE
2022,8,2022-08-01,4.649701,ed9a0ebb-954f-41bb-a9e8-612efdf62388,S2B_MSIL2A_20220801T100559_N0510_R022_T32TNQ_20240715T113551.SAFE
2022,8,2022-08-04,4.584739,a3b06921-a729-4781-8def-d0df96b6c435,S2B_MSIL2A_20220804T101559_N0510_R065_T32TNQ_20240717T040056.SAFE
2022,8,2022-08-24,1.979831,ee2816a3-b8fe-45c2-9f51-1765df29d78f,S2B_MSIL2A_20220824T101559_N0510_R065_T32TNQ_20240704T180414.SAFE
2022,9,2022-09-18,0.034502,3ed8eae5-60a0-41b0-9972-6650d4397b09,S2A_MSIL2A_20220918T101701_N0510_R065_T32TNQ_20240730T065346.SAFE
2022,9,2022-09-20,2.740751,ee398dc0-bbf2-45d0-919a-24722e8028f5,S2B_MSIL2A_20220920T100649_N0510_R022_T32TNQ_20240731T062530.SAFE
2022,9,2022-09-23,19.115637,b386c32e-0187-4138-bcba-0951ce0fa2b2,S2B_MSIL2A_20220923T101649_N0510_R065_T32TNQ_20240730T211138.SAFE
2023,6,2023-06-17,9.532142,0fe66d1a-d871-4669-a3a3-5c1e3972a0b0,S2B_MSIL2A_20230617T100559_N0510_R022_T32TNQ_20240926T031136.SAFE
2023,6,2023-06-25,7.8632219999999995,d2e0102e-34d8-4dd9-9266-e912e134ecfd,S2A_MSIL2A_20230625T101601_N0510_R065_T32TNQ_20240910T125018.SAFE
2023,7,2023-07-07,2.857163,ab2093cb-d93e-4693-9673-fb4be4be9e9a,S2B_MSIL2A_20230707T100559_N0510_R022_T32TNQ_20240929T030230.SAFE
2023,7,2023-07-10,0.059087,4333b2a2-401c-4be1-b740-4d4d973c965c,S2B_MSIL2A_20230710T101609_N0510_R065_T32TNQ_20240913T122821.SAFE
2023,7,2023-07-17,0.323608,edec9025-2fe1-4c41-b472-d107f1b6c7f4,S2B_MSIL2A_20230717T100559_N0510_R022_T32TNQ_20241002T083613.SAFE
2023,7,2023-07-27,0.532468,3df5e6ac-3110-4595-9952-3ef61f675dba,S2B_MSIL2A_20230727T100559_N0510_R022_T32TNQ_20240911T095934.SAFE
2023,8,2023-08-19,1.103095,a131aa54-66b3-4f17-8180-a41808bc7c8e,S2B_MSIL2A_20230819T101609_N0510_R065_T32TNQ_20241018T143254.SAFE
2023,8,2023-08-21,0.002322,f6d55773-3e75-412d-859b-fba8e6e1e57a,S2A_MSIL2A_20230821T100601_N0510_R022_T32TNQ_20241024T123213.SAFE
2023,8,2023-08-24,0.002631,69f4aa27-ab7c-4ef6-a288-41f21af49455,S2A_MSIL2A_20230824T101601_N0510_R065_T32TNQ_20241019T100912.SAFE
